id,title,Head_Office_Location,registrationgroup,phone,website,email,address,postcode,Column1
53961,#1 Bookkeeping,Swifts Creek,Plan Management,0424 157 584,,janerowe@aanet.com.au,"25 Cassilis Road, Swifts Creek, VIC 3896",3896,2
53962,(Tlc) Disability Services,Mount Nathan,Assist Access/Maintain Employ,0400 735 262,,sarahcunneen21@gmail.com,"177 Nathan Valley Road, Mount Nathan, QLD 4211",4211,3
53963,(Tlc) Disability Services,,Assist Personal Activities,,,,,,3
53964,(Tlc) Disability Services,,"Assist-Life Stage, Transition",,,,,,3
53965,(Tlc) Disability Services,,Assist-Travel/Transport,,,,,,3
53966,(Tlc) Disability Services,,Daily Tasks/Shared Living,,,,,,3
53967,(Tlc) Disability Services,,Development-Life Skills,,,,,,3
53968,(Tlc) Disability Services,,Group/Centre Activities,,,,,,3
53969,(Tlc) Disability Services,,Household Tasks,,,,,,3
53970,(Tlc) Disability Services,,Innov Community Participation,,,,,,3
53971,(Tlc) Disability Services,,Participate Community,,,,,,3
53972,(Tlc) Disability Services,,Personal Activities High,,,,,,3
53973,(Trade Name) Trs Rehab,Invermay,"Assist-Life Stage, Transition",03 6326 1112,trsrehab.org.au,dcollier@trsrehab.org.au,"287 Invermay Road, Invermay, TAS 7248",7248,4
53974,(Trade Name) Trs Rehab,,Development-Life Skills,,,,,,4
53975,(Trade Name) Trs Rehab,,Participate Community,,,,,,4
53976,(Trade Name) Trs Rehab,,Plan Management,,,,,,4
53977,00 Towards Your Horizon,Glenelg,"Assist-Life Stage, Transition",0417 833 807,towardsyourhorizon.com.au,support@towardsyourhorizon.com.au,"33a, Hastings Street, Glenelg, SA 5045",5045,5
53978,00 Towards Your Horizon,,Behaviour Support,,,,,,5
53979,00 Towards Your Horizon,,Early Childhood Supports,,,,,,5
